date,year,close,ret_1d,vol20,dd120,sma200_dist,f1_breadth,f2_gdr_basis,f3_rate_mom,f4_fx_vel,f4_fx_acc,f5_hhi,f6_herding,f7_panic,f8_illiq,f9_ratio,f10_spread,target_mae_60,target_mdd_60,state,in_risk_set,b1_vol,b2_dd,b3_sma,b4_composite
1998-01-04,1998,998.39,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.05,0.0,0.0,0.1094,0.1094,0,1,0,0,0,0
1998-01-05,1998,996.25,-0.00214,0.0,-0.0021,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.05,0.0,0.0,0.1075,0.1075,0,1,0,0,0,0
1998-01-06,1998,992.87,-0.00339,0.0,-0.0055,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.05,0.0,0.0,0.1045,0.1045,0,1,0,0,0,0
1998-01-07,1998,989.35,-0.00355,0.0,-0.0091,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0375,0.0,0.0,0.1013,0.1013,0,1,0,0,0,0
1998-01-08,1998,984.38,-0.00502,0.0,-0.014,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.04,0.0,0.0,0.0967,0.0967,0,1,0,0,0,0
1998-01-11,1998,980.63,-0.00381,0.0,-0.0178,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03333,0.0,0.0,0.0933,0.0933,0,1,0,0,0,0
1998-01-12,1998,971.15,-0.00967,0.0,-0.0273,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.02857,0.0,0.0,0.0844,0.0844,0,1,0,0,0,0
1998-01-13,1998,966.69,-0.00459,0.0,-0.0318,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.025,0.0,0.0,0.0802,0.0841,0,1,0,0,0,0
1998-01-14,1998,967.85,0.0012,0.0,-0.0306,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.04435,0.0,0.0,0.0813,0.0841,0,1,0,0,0,0
1998-01-15,1998,970.21,0.00244,0.0,-0.0282,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03992,0.0,0.0,0.0835,0.0841,0,1,0,0,0,0
1998-01-18,1998,970.85,0.00066,0.0,-0.0276,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03629,0.0,0.0,0.0841,0.0841,0,1,0,0,0,0
1998-01-19,1998,963.4,-0.00767,0.0,-0.035,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03743,0.0,0.0,0.0771,0.0771,0,1,0,0,0,0
1998-01-20,1998,960.73,-0.00277,0.0,-0.0377,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03455,0.0,0.0,0.0745,0.0745,0,1,0,0,0,0
1998-01-21,1998,954.59,-0.00639,0.0,-0.0439,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03208,0.0,0.0,0.0685,0.0685,0,1,0,0,0,0
1998-01-22,1998,953.17,-0.00149,0.0,-0.0453,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03328,0.0,0.0,0.0672,0.0672,0,1,0,0,0,0
1998-01-25,1998,947.48,-0.00597,0.0,-0.051,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0312,0.0,0.0,0.0616,0.0616,0,1,0,0,0,0
1998-01-26,1998,939.03,-0.00892,0.0,-0.0595,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03916,0.0,0.0,0.0531,0.0531,0,1,0,0,0,0
1998-01-27,1998,924.06,-0.01594,0.0,-0.0744,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03976,0.0,0.0,0.0378,0.0581,0,1,0,0,0,0
1998-02-01,1998,912.81,-0.01217,0.0,-0.0857,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.04818,0.0,0.0,0.0259,0.0762,0,1,0,0,0,0
1998-02-02,1998,889.16,-0.02591,0.1021,-0.1094,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.04577,0.0,0.0,-0.0,0.0762,0,1,0,0,0,0
1998-02-03,1998,901.59,0.01398,0.1216,-0.097,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.1194,0.04327,0.0,0.0,0.0056,0.0762,0,1,0,0,0,0
1998-02-04,1998,912.05,0.0116,0.1344,-0.0865,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.1173,0.04327,0.0,0.0,0.017,0.0762,0,1,0,0,0,0
1998-02-05,1998,920.69,0.00947,0.1427,-0.0778,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.1139,0.04077,0.0,0.0,0.0262,0.0762,0,1,0,0,0,0
